,status,cpc,date,ts_clicks,tr_clicks,tr_conversions,impressions,lp_clicks,cost,tr_revenue,TR.NET,TR.ROI,LP.CTR,CTR,Status_Algo,Reason,Coeff_Performance,Bid_suggestion,EPC
25,PAUSED,0.174,11/16/2019,243,241,0,122254,4,46.9,0,-46.9,-1,0.01659751,0.001987665,PAUSED,NC,0.561292323,No Sugg,0
26,RUNNING,0.282,11/13/2019,121,119,3,75161,21,44.15,75,30.85,0.698754247,0.176470588,0.001609877,RUNNING,GP1,1.805479971,Increase Bid 1,0.630252101
27,RUNNING,6.65,11/13/2019,7,7,1,0,0,42,0,-42,-1,0,7,RUNNING,NED,1,Decrease Bid 3,0
28,RUNNING,1.12,11/13/2019,819,819,5,31042,0,41.5571,35,-6.5571,-0.157785312,0,0.026383609,RUNNING,NMT,1,No sugg,0.042735043
29,PAUSED,NA,11/13/2019,99,0,0,108299,0,41.22,0,-41.22,-1,0,0.000914136,PAUSED,PB,1,No Sugg,0
30,RUNNING,3,11/12/2019,10,10,0,11561,0,41.15,0,-41.15,-1,0,0.000864977,RUNNING,NED,1,No Sugg,0
31,RUNNING,0.353,11/13/2019,96,95,5,23857,20,40.23,125,84.77,2.10713398,0.210526316,0.004023976,RUNNING,GP1,1.974468407,Increase Bid 2,1.315789474
32,PAUSED,0.6,11/24/2019,65,101,6,29192,0,39,12.45,-26.55,-0.680769231,0,0.002226637,RUNNING,NMT,1,Decrease Bid 3,0.123267327
33,RUNNING,NA,11/13/2019,159,174,3,76113,0,38.16,96,57.84,1.51572327,0,0.002088999,RUNNING,GP1,1,No Sugg,0.551724138
34,RUNNING,NA,11/13/2019,253,0,0,45965,0,37.95,0,-37.95,-1,0,0.005504188,PAUSED,PB,1,No Sugg,0
35,PAUSED,0.38,11/13/2019,90,91,0,330889,1,37.16,0,-37.16,-1,0.010989011,0.000271995,PAUSED,NC,0.451419876,No Sugg,0
